id,question,generated,reference,retrieved_context,answerable,rouge1,rouge2,rougeL,exact_match,bertscore_P,bertscore_R,bertscore_F1,faith_score,hallucinated,src_faith,src_halluc
0,In what country is Normandy located?,France,France,"[Passage 1]
Normandy

[Passage 2]
Normandy

[Passage 3]
Normandy

[Passage 4]
Normandy

[Passage 5]
Normandy",True,1.0,0.0,1.0,1,0.99999994,0.99999994,0.99999994,0.9772023558616638,False,0.9433857798576355,False
1,When were the Normans in Normandy?,unanswerable,10th and 11th centuries,"[Passage 1]
Normandy

[Passage 2]
Normandy

[Passage 3]
Normandy

[Passage 4]
Normandy

[Passage 5]
Normandy",True,0.0,0.0,0.0,0,0.25016895,0.41075635,0.3109534,0.004238189663738012,True,0.006681795231997967,True
2,From which countries did the Norse originate?,"Iceland, Norway, Sweden","Denmark, Iceland and Norway","[Passage 1]
Vikings

[Passage 2]
Vikings

[Passage 3]
Vikings

[Passage 4]
Vikings

[Passage 5]
Vikings",True,0.5714285714285715,0.0,0.5714285714285715,0,0.74252385,0.7429447,0.7427342,0.006022271234542131,True,0.0054124630987644196,True
3,Who was the Norse leader?,Ivar the Boneless,Rollo,"[Passage 1]
Vikings

[Passage 2]
Vikings

[Passage 3]
Vikings

[Passage 4]
Vikings

[Passage 5]
Vikings",True,0.0,0.0,0.0,0,0.5571934,0.6246128,0.58898,0.014154661446809769,True,0.0004623935674317181,True
4,What century did the Normans first gain their separate identity?,10th Century,10th century,"[Passage 1]
Anglo-Saxons

[Passage 2]
Anglo-Saxons

[Passage 3]
Anglo-Saxons

[Passage 4]
Anglo-Saxons

[Passage 5]
Anglo-Saxons",True,1.0,1.0,1.0,1,0.9749573,0.9749573,0.9749573,0.9826228618621826,False,0.006465766113251448,True
5,Who gave their name to Normandy in the 1000's and 1100's,unanswerable,unanswerable,"[Passage 1]
Normandy

[Passage 2]
Normandy

[Passage 3]
Normandy

[Passage 4]
Normandy

[Passage 5]
Normandy",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.006681795231997967,True
6,What is France a region of?,unanswerable,unanswerable,"[Passage 1]
History of France

[Passage 2]
History of France

[Passage 3]
History of France

[Passage 4]
History of France

[Passage 5]
History of France",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.004040954634547234,True
7,Who did King Charles III swear fealty to?,unanswerable,unanswerable,"[Passage 1]
Charles I of England

[Passage 2]
Charles I of England

[Passage 3]
Charles I of England

[Passage 4]
Charles I of England

[Passage 5]
Charles I of England",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.01788579486310482,True
8,When did the Frankish identity emerge?,unanswerable,unanswerable,"[Passage 1]
Charlemagne

[Passage 2]
Charlemagne

[Passage 3]
Charlemagne

[Passage 4]
Charlemagne

[Passage 5]
Charlemagne",False,1.0,0.0,1.0,1,1.0,1.0,1.0,0.9859851598739624,False,0.014810513705015182,True
9,Who was the duke in the battle of Hastings?,William of Normandy,William the Conqueror,"[Passage 1]
Hastings

[Passage 2]
Hastings

[Passage 3]
Hastings

[Passage 4]
Hastings

[Passage 5]
Hastings",True,0.3333333333333333,0.0,0.3333333333333333,0,0.79270196,0.8111574,0.8018235,0.961037814617157,False,0.00024859915720298886,True
